FolioPage,Sequence,Label
urn:cite:hcmid:cb48.91r,181,"Codex Bodmer 48, folio 91, recto"
urn:cite:hcmid:cb48.91r,182,"Codex Bodmer 48, folio 91, verso"
urn:cite:hcmid:cb48.92r,183,"Codex Bodmer 48, folio 92, recto"
urn:cite:hcmid:cb48.92r,184,"Codex Bodmer 48, folio 92, verso"
urn:cite:hcmid:cb48.93r,185,"Codex Bodmer 48, folio 93, recto"
urn:cite:hcmid:cb48.93r,186,"Codex Bodmer 48, folio 93, verso"
urn:cite:hcmid:cb48.94r,187,"Codex Bodmer 48, folio 94, recto"
urn:cite:hcmid:cb48.94r,188,"Codex Bodmer 48, folio 94, verso"
urn:cite:hcmid:cb48.95r,189,"Codex Bodmer 48, folio 95, recto"
urn:cite:hcmid:cb48.95r,190,"Codex Bodmer 48, folio 95, verso"
urn:cite:hcmid:cb48.96r,191,"Codex Bodmer 48, folio 96, recto"
urn:cite:hcmid:cb48.96r,192,"Codex Bodmer 48, folio 96, verso"
urn:cite:hcmid:cb48.97r,193,"Codex Bodmer 48, folio 97, recto"
urn:cite:hcmid:cb48.97r,194,"Codex Bodmer 48, folio 97, verso"
urn:cite:hcmid:cb48.98r,195,"Codex Bodmer 48, folio 98, recto"
urn:cite:hcmid:cb48.98r,196,"Codex Bodmer 48, folio 98, verso"
urn:cite:hcmid:cb48.99r,197,"Codex Bodmer 48, folio 99, recto"
urn:cite:hcmid:cb48.99r,198,"Codex Bodmer 48, folio 99, verso"
urn:cite:hcmid:cb48.100r,199,"Codex Bodmer 48, folio 100, recto"
urn:cite:hcmid:cb48.100r,200,"Codex Bodmer 48, folio 100, verso"
urn:cite:hcmid:cb48.101r,201,"Codex Bodmer 48, folio 101, recto"
urn:cite:hcmid:cb48.101r,202,"Codex Bodmer 48, folio 101, verso"
urn:cite:hcmid:cb48.102r,203,"Codex Bodmer 48, folio 102, recto"
urn:cite:hcmid:cb48.102r,204,"Codex Bodmer 48, folio 102, verso"
urn:cite:hcmid:cb48.103r,205,"Codex Bodmer 48, folio 103, recto"
urn:cite:hcmid:cb48.103r,206,"Codex Bodmer 48, folio 103, verso"
urn:cite:hcmid:cb48.104r,207,"Codex Bodmer 48, folio 104, recto"
urn:cite:hcmid:cb48.104r,208,"Codex Bodmer 48, folio 104, verso"
urn:cite:hcmid:cb48.105r,209,"Codex Bodmer 48, folio 105, recto"
urn:cite:hcmid:cb48.105r,210,"Codex Bodmer 48, folio 105, verso"
urn:cite:hcmid:cb48.106r,211,"Codex Bodmer 48, folio 106, recto"
urn:cite:hcmid:cb48.106r,212,"Codex Bodmer 48, folio 106, verso"
urn:cite:hcmid:cb48.107r,213,"Codex Bodmer 48, folio 107, recto"
urn:cite:hcmid:cb48.107r,214,"Codex Bodmer 48, folio 107, verso"
urn:cite:hcmid:cb48.108r,215,"Codex Bodmer 48, folio 108, recto"
urn:cite:hcmid:cb48.108r,216,"Codex Bodmer 48, folio 108, verso"
urn:cite:hcmid:cb48.109r,217,"Codex Bodmer 48, folio 109, recto"
urn:cite:hcmid:cb48.109r,218,"Codex Bodmer 48, folio 109, verso"
urn:cite:hcmid:cb48.110r,219,"Codex Bodmer 48, folio 110, recto"
urn:cite:hcmid:cb48.110r,220,"Codex Bodmer 48, folio 110, verso"
urn:cite:hcmid:cb48.111r,221,"Codex Bodmer 48, folio 111, recto"
urn:cite:hcmid:cb48.111r,222,"Codex Bodmer 48, folio 111, verso"
urn:cite:hcmid:cb48.112r,223,"Codex Bodmer 48, folio 112, recto"
urn:cite:hcmid:cb48.112r,224,"Codex Bodmer 48, folio 112, verso"
urn:cite:hcmid:cb48.113r,225,"Codex Bodmer 48, folio 113, recto"
urn:cite:hcmid:cb48.113r,226,"Codex Bodmer 48, folio 113, verso"
urn:cite:hcmid:cb48.114r,227,"Codex Bodmer 48, folio 114, recto"
urn:cite:hcmid:cb48.114r,228,"Codex Bodmer 48, folio 114, verso"
urn:cite:hcmid:cb48.115r,229,"Codex Bodmer 48, folio 115, recto"
urn:cite:hcmid:cb48.115r,230,"Codex Bodmer 48, folio 115, verso"
urn:cite:hcmid:cb48.116r,231,"Codex Bodmer 48, folio 116, recto"
urn:cite:hcmid:cb48.116r,232,"Codex Bodmer 48, folio 116, verso"
urn:cite:hcmid:cb48.117r,233,"Codex Bodmer 48, folio 117, recto"
urn:cite:hcmid:cb48.117r,234,"Codex Bodmer 48, folio 117, verso"
urn:cite:hcmid:cb48.118r,235,"Codex Bodmer 48, folio 118, recto"
urn:cite:hcmid:cb48.118r,236,"Codex Bodmer 48, folio 118, verso"
urn:cite:hcmid:cb48.119r,237,"Codex Bodmer 48, folio 119, recto"
urn:cite:hcmid:cb48.119r,238,"Codex Bodmer 48, folio 119, verso"
urn:cite:hcmid:cb48.120r,239,"Codex Bodmer 48, folio 120, recto"
urn:cite:hcmid:cb48.120r,240,"Codex Bodmer 48, folio 120, verso"
urn:cite:hcmid:cb48.121r,241,"Codex Bodmer 48, folio 121, recto"
urn:cite:hcmid:cb48.121r,242,"Codex Bodmer 48, folio 121, verso"
urn:cite:hcmid:cb48.122r,243,"Codex Bodmer 48, folio 122, recto"
urn:cite:hcmid:cb48.122r,244,"Codex Bodmer 48, folio 122, verso"
urn:cite:hcmid:cb48.123r,245,"Codex Bodmer 48, folio 123, recto"
urn:cite:hcmid:cb48.123r,246,"Codex Bodmer 48, folio 123, verso"
urn:cite:hcmid:cb48.124r,247,"Codex Bodmer 48, folio 124, recto"
urn:cite:hcmid:cb48.124r,248,"Codex Bodmer 48, folio 124, verso"
urn:cite:hcmid:cb48.125r,249,"Codex Bodmer 48, folio 125, recto"
urn:cite:hcmid:cb48.125r,250,"Codex Bodmer 48, folio 125, verso"
urn:cite:hcmid:cb48.126r,251,"Codex Bodmer 48, folio 126, recto"
urn:cite:hcmid:cb48.126r,252,"Codex Bodmer 48, folio 126, verso"
urn:cite:hcmid:cb48.127r,253,"Codex Bodmer 48, folio 127, recto"
urn:cite:hcmid:cb48.127r,254,"Codex Bodmer 48, folio 127, verso"
urn:cite:hcmid:cb48.128r,255,"Codex Bodmer 48, folio 128, recto"
urn:cite:hcmid:cb48.128r,256,"Codex Bodmer 48, folio 128, verso"
urn:cite:hcmid:cb48.129r,257,"Codex Bodmer 48, folio 129, recto"
urn:cite:hcmid:cb48.129r,258,"Codex Bodmer 48, folio 129, verso"
urn:cite:hcmid:cb48.130r,259,"Codex Bodmer 48, folio 130, recto"
urn:cite:hcmid:cb48.130r,260,"Codex Bodmer 48, folio 130, verso"
urn:cite:hcmid:cb48.131r,261,"Codex Bodmer 48, folio 131, recto"
urn:cite:hcmid:cb48.131r,262,"Codex Bodmer 48, folio 131, verso"
urn:cite:hcmid:cb48.132r,263,"Codex Bodmer 48, folio 132, recto"
urn:cite:hcmid:cb48.132r,264,"Codex Bodmer 48, folio 132, verso"
urn:cite:hcmid:cb48.133r,265,"Codex Bodmer 48, folio 133, recto"
urn:cite:hcmid:cb48.133r,266,"Codex Bodmer 48, folio 133, verso"
urn:cite:hcmid:cb48.134r,267,"Codex Bodmer 48, folio 134, recto"
urn:cite:hcmid:cb48.134r,268,"Codex Bodmer 48, folio 134, verso"
urn:cite:hcmid:cb48.135r,269,"Codex Bodmer 48, folio 135, recto"
urn:cite:hcmid:cb48.135r,270,"Codex Bodmer 48, folio 135, verso"
urn:cite:hcmid:cb48.136r,271,"Codex Bodmer 48, folio 136, recto"
urn:cite:hcmid:cb48.136r,272,"Codex Bodmer 48, folio 136, verso"
urn:cite:hcmid:cb48.137r,273,"Codex Bodmer 48, folio 137, recto"
urn:cite:hcmid:cb48.137r,274,"Codex Bodmer 48, folio 137, verso"
urn:cite:hcmid:cb48.138r,275,"Codex Bodmer 48, folio 138, recto"
urn:cite:hcmid:cb48.138r,276,"Codex Bodmer 48, folio 138, verso"
urn:cite:hcmid:cb48.139r,277,"Codex Bodmer 48, folio 139, recto"
urn:cite:hcmid:cb48.139r,278,"Codex Bodmer 48, folio 139, verso"
urn:cite:hcmid:cb48.140r,279,"Codex Bodmer 48, folio 140, recto"
urn:cite:hcmid:cb48.140r,280,"Codex Bodmer 48, folio 140, verso"
urn:cite:hcmid:cb48.141r,281,"Codex Bodmer 48, folio 141, recto"
urn:cite:hcmid:cb48.141r,282,"Codex Bodmer 48, folio 141, verso"
urn:cite:hcmid:cb48.142r,283,"Codex Bodmer 48, folio 142, recto"
urn:cite:hcmid:cb48.142r,284,"Codex Bodmer 48, folio 142, verso"
urn:cite:hcmid:cb48.143r,285,"Codex Bodmer 48, folio 143, recto"
urn:cite:hcmid:cb48.143r,286,"Codex Bodmer 48, folio 143, verso"
urn:cite:hcmid:cb48.144r,287,"Codex Bodmer 48, folio 144, recto"
urn:cite:hcmid:cb48.144r,288,"Codex Bodmer 48, folio 144, verso"
urn:cite:hcmid:cb48.145r,289,"Codex Bodmer 48, folio 145, recto"
urn:cite:hcmid:cb48.145r,290,"Codex Bodmer 48, folio 145, verso"
urn:cite:hcmid:cb48.146r,291,"Codex Bodmer 48, folio 146, recto"
urn:cite:hcmid:cb48.146r,292,"Codex Bodmer 48, folio 146, verso"
urn:cite:hcmid:cb48.147r,293,"Codex Bodmer 48, folio 147, recto"
urn:cite:hcmid:cb48.147r,294,"Codex Bodmer 48, folio 147, verso"
urn:cite:hcmid:cb48.148r,295,"Codex Bodmer 48, folio 148, recto"
urn:cite:hcmid:cb48.148r,296,"Codex Bodmer 48, folio 148, verso"
urn:cite:hcmid:cb48.149r,297,"Codex Bodmer 48, folio 149, recto"
urn:cite:hcmid:cb48.149r,298,"Codex Bodmer 48, folio 149, verso"
urn:cite:hcmid:cb48.150r,299,"Codex Bodmer 48, folio 150, recto"
